2026-06-07 07:53:38,914 INFO    StreamThr :850283 [internal.py:wandb_internal():85] W&B internal server running at pid: 850283, started at: 2026-06-07 07:53:38.913651
2026-06-07 07:53:38,917 DEBUG   HandlerThread:850283 [handler.py:handle_request():158] handle_request: status
2026-06-07 07:53:38,920 INFO    WriterThread:850283 [datastore.py:open_for_write():87] open: /app/solution/../environment/wandb/offline-run-20260607_075338-oq0go2lw/run-oq0go2lw.wandb
2026-06-07 07:53:38,972 DEBUG   HandlerThread:850283 [handler.py:handle_request():158] handle_request: run_start
2026-06-07 07:53:38,974 DEBUG   HandlerThread:850283 [system_info.py:__init__():26] System info init
2026-06-07 07:53:38,974 DEBUG   HandlerThread:850283 [system_info.py:__init__():41] System info init done
2026-06-07 07:53:38,974 INFO    HandlerThread:850283 [system_monitor.py:start():194] Starting system monitor
2026-06-07 07:53:38,974 INFO    SystemMonitor:850283 [system_monitor.py:_start():158] Starting system asset monitoring threads
2026-06-07 07:53:38,975 INFO    HandlerThread:850283 [system_monitor.py:probe():214] Collecting system info
2026-06-07 07:53:38,976 INFO    SystemMonitor:850283 [interfaces.py:start():188] Started cpu monitoring
2026-06-07 07:53:38,978 INFO    SystemMonitor:850283 [interfaces.py:start():188] Started disk monitoring
2026-06-07 07:53:38,980 INFO    SystemMonitor:850283 [interfaces.py:start():188] Started memory monitoring
2026-06-07 07:53:38,981 INFO    SystemMonitor:850283 [interfaces.py:start():188] Started network monitoring
2026-06-07 07:53:38,989 DEBUG   HandlerThread:850283 [system_info.py:probe():150] Probing system
2026-06-07 07:53:38,990 DEBUG   HandlerThread:850283 [system_info.py:_probe_git():135] Probing git
2026-06-07 07:53:39,001 DEBUG   HandlerThread:850283 [system_info.py:_probe_git():143] Probing git done
2026-06-07 07:53:39,001 DEBUG   HandlerThread:850283 [system_info.py:probe():198] Probing system done
